name,Closed Notice_Holiday,Emergency Room_Day_Operation Status,Emergency Room_Night_Operation Status,Consultation Start Time_Sunday,Consultation End Time_Sunday,Consultation Start Time_Monday,Consultation End Time_Monday,Consultation Start Time_Tuesday,Consultation End Time_Tuesday,Consultation Start Time_Wednesday,Consultation End Time_Wednesday,Consultation Start Time_Thursday,Consultation End Time_Thursday,Consultation Start Time_Friday,Consultation End Time_Friday,Consultation Start Time_Saturday,Consultation End Time_Saturday
현대온누리약국,,N,N,,,,,,,,,,,,,,
바다약국,9 :00 ~ 13 : 00,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1500
그린약국,휴무,N,N,,,,,,,,,,,,,,
한빛약국,오전9시~오후4시까지,N,N,,,,,,,,,,,,,,
푸른약국,,N,N,,,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200
롯데약국,휴진,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
신세계약국,09시부터 17시까지 운영합니다.,N,N,1100,1900,830,2130,830,2130,830,2130,830,2130,830,2130,830,1900
명문약국,,N,N,,,,,,,,,,,,,,
비타민약국,,N,N,,,,,,,,,,,,,,
천우약국,,N,N,,,900,1950,900,1950,900,1950,900,1950,900,1950,900,1630
알찬약국,,N,N,,,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200
건강백세약국,,N,N,1100,2100,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100
동산약국,,N,N,,,840,1900,840,1900,840,1900,840,1900,840,1900,840,1700
굿모닝약국,,N,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
참사랑약국,,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,2000
대선약국,,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
모범약국,,N,N,,,,,,,,,,,,,,
네온우리약국,9시~18시,N,N,,,,,,,,,,,,,,
구포시장약국,전부 휴진,N,N,,,,,,,,,,,,,,
메리놀약국,,N,N,900,2100,900,2130,900,2130,900,2130,900,2130,900,2130,900,2100
세종약국,휴무,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
장약국,,N,N,1300,100,,,1300,100,1300,100,1300,100,1300,100,1300,100
새대학약국,,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600
동해약국,휴무,N,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
은하수약국,,N,N,1000,1400,900,2000,900,2000,900,2000,900,2000,900,2000,900,1900
튼튼약국,,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1400
가야로약국,,N,N,,,900,1930,900,1930,900,1930,900,1930,900,1930,900,1630
상아약국,,N,N,,,,,,,,,,,,,,
하나약국,오후5시까지근무,N,N,,,,,,,,,,,,,,
중앙약국,휴무,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
이팜약국,오후6시까지,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
부평약국,,N,N,930,2400,930,2400,930,2400,930,2400,930,2400,930,2400,930,2400
미보약국,09:00 ~ 19:00,N,N,,,,,,,,,,,,,,
한마음약국,전부휴진,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
경동약국,,N,N,,,,,,,,,,,,,,
제일약국,,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
동화약국,,N,N,1000,2200,900,2230,900,2230,900,2230,900,2230,900,2230,900,2230
늘푸른약국,,N,N,,,830,2000,830,2000,830,2000,830,2000,830,2000,830,1730
미소약국,,N,N,,,,,,,,,,,,,,
사상오체사성당약국,,N,N,,,800,1900,800,1900,800,1900,800,1900,800,1900,800,1400
온누리본초약국,9시~5시근무,N,N,,,,,,,,,,,,,,
목동약국,오후8시이후,N,N,,,900,2150,900,2150,900,2150,900,2150,900,2150,900,2100
신주례약국,,N,N,,,,,,,,,,,,,,
덕성약국,오전9시~오후1시,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
수성약국,,N,N,,,,,,,,,,,,,,
조약국,휴무,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
한일약국,근무시간 10시00분~22시00분,N,N,,,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
만수약국,,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
일선약국,,N,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,2000
단성약국,,N,N,1800,2130,830,2130,830,2130,830,2130,830,2130,830,2130,830,2130
광장약국,정상영업,N,N,830,1300,830,1900,830,1900,830,1900,830,1900,830,1900,830,1800
서면금약국,,N,N,,,,,,,,,,,,,,
큰사랑약국,,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
이소약국,일부 휴진,N,N,1000,1600,900,1830,900,1830,900,1830,900,1830,900,1830,900,1330
국일약국,,N,N,,,900,2200,900,2200,900,2200,900,2200,900,2200,900,1900
대우약국,,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
성경약국,,N,N,1000,2100,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100
진성약국,,N,N,,,,,,,,,,,,,,
훈스약국,휴무,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
양정24시약국,전부 휴무,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,830,1400
건강약국,,N,N,900,2000,830,2100,830,2100,830,2100,830,2100,830,2100,830,2100
세일약국,,N,N,,,900,1920,900,1920,900,1920,900,1920,900,1920,900,1600
평화약국,,N,N,,,,,,,,,,,,,,
수영약국,,N,N,,,,,,,,,,,,,,
신제일사약국,,N,N,,,,,,,,,,,,,,
건강한온누리약국,8:30-13:00,N,N,,,830,1930,830,1930,830,2100,830,1900,830,1930,830,1630
정약국,,N,N,,,,,,,,,,,,,,
수민약국,휴무,N,N,,,810,1900,810,1900,810,1900,810,1900,810,1900,810,1700
햇님약국,,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500
힐탑약국,휴무,N,N,,,,,,,,,,,,,,
퀸덤약국,전부 휴진,N,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,1600
수정약국,전부휴진,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1400
신동아약국,,N,N,900,2100,900,2030,900,2030,900,2030,900,2030,900,2030,900,1700
민들레약국,,N,N,,,,,,,,,,,,,,
메디팜행복한약국,오후 1시이후,N,N,900,1300,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600
네모약국,,N,N,,,900,1930,900,1930,900,1930,900,1930,900,1930,900,1700
광안그린약국,,N,N,,,830,2000,830,2000,830,2000,830,2000,830,2000,830,2000
이화약국,,Y,N,,,900,1930,900,1930,900,1930,900,1930,900,1930,900,1600
모라열린약국,"설날, 추석 당일 휴무",N,N,900,1700,900,2100,900,2100,900,2100,900,2100,900,2100,900,1700
임약국,정상근무,N,N,,,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100
지성약국,,N,N,,,,,,,,,,,,,,
괴정약국,종일 근무,Y,Y,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400
삼성온누리약국,,N,N,,,,,,,,,,,,,,
새나라 약국,,N,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,1800
제생당약국,,N,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
장산약국,,N,N,,,,,,,,,,,,,,
부영약국,근무,N,N,,,,,,,,,,,,,,
대지온누리약국,,N,N,900,1300,900,2100,900,2100,900,2100,900,2100,900,2100,900,1700
동신약국,1시 이후 휴무,N,N,900,1300,830,2000,830,2000,830,2000,830,2000,830,2000,830,1700
센텀편안한약국,정상근무,N,N,,,900,2130,900,2130,900,2130,900,2130,900,2130,900,2100
경화약국,,N,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
럭키약국,.,N,N,,,900,1930,900,1930,900,1930,900,1930,900,1930,900,1900
포스코약국,,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
해운대약국,전부휴진,N,N,,,900,2030,900,2030,900,2030,900,2030,900,2030,900,1800
다모아약국,,N,N,900,1200,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
지사 온누리 약국,,N,N,,,,,,,,,,,,,,
새시대약국,,N,N,,,,,,,,,,,,,,
온천약국,,N,N,,,,,,,,,,,,,,
친절한약국,,N,N,900,1800,900,2100,900,2100,900,2100,900,2100,900,2100,900,1800
구서약국,오후5시이후,N,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,1900
행복약국,휴무,N,N,,,830,1830,830,1830,830,1830,830,1830,830,1830,,
휘림한방병원,오후 5시이후,N,N,,,,,,,,,,,,,,
해운대자생한방병원,,N,N,,,830,2000,830,2000,830,2000,830,2000,830,2000,830,2000
황금손한방병원,휴무,N,N,,,,,,,,,,,,,,
부산더존한방병원,,N,N,1000,1300,900,2000,900,2000,900,2000,900,2000,900,2000,900,1700
장덕한방병원,"신정, 성탄설, 추석 설날 당일 휴진",N,N,930,1700,840,1900,840,1900,840,1900,840,1900,840,1900,840,1500
서면더존한방병원,,N,N,900,1800,900,1800,900,1800,900,1800,900,1800,900,1800,900,1800
동의대부속 한방병원,"설날, 추석 휴진",N,N,900,1800,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
우아한방병원,오후1시 이후,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1300
의료법인 삼세의료재단 삼세한방병원,10:00-17:00 진료,N,N,1000,1700,930,2100,930,2100,930,2100,930,2100,930,2100,930,1700
예람한의원,공휴일 진료 09:00~17:00,N,N,900,1700,900,2000,900,2000,900,2100,900,2000,900,2000,900,1700
엄상섭한의원,10시~17시까지 진료,N,N,1000,1700,930,2100,930,2100,930,2100,930,2100,930,2100,930,1700
덕산 한의원,"외래진료휴진, 응급실 진료가능",Y,Y,,,830,1730,830,1730,830,1730,830,1730,830,1730,830,1730
태연한의원,,N,N,1000,1600,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,1600
행림한의원,09:00~17:00 당직진료,Y,Y,900,1700,900,2000,900,2000,900,2000,900,2000,900,2000,900,1700
괴정한의원,전부 휴진,N,N,,,930,1830,930,1830,930,1800,930,1830,930,1830,930,1500
세방 한의원,9시~5시반 진료(최소30분전 내원),N,N,900,1300,900,1830,900,1830,900,1830,,,900,1830,900,1830
정양삼한의원,휴무,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1500
동제한의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1600
국민한의원,휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
명신한의원,휴무,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
으뜸한의원,전부휴진,N,N,,,,,,,,,,,,,,
인동한의원,문의,N,N,,,930,1800,930,1800,930,1800,,,930,1800,930,1600
경인한의원,09시00분~17시00분,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1700
배정엽한의원,10시00분~12시00분 진료합니다.,N,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1200
광도한의원,휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
정재영한의원,,N,N,,,900,1900,900,1900,900,2000,900,2000,900,1900,900,1600
경성한의원,휴진,N,N,,,,,,,,,,,,,,
신통한의원,진료여부를 전화로 확인하십시오.,N,N,,,930,1830,930,1830,930,1830,1400,1830,930,1830,930,1230
개금한의원,오전9:30~오후5:00,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1700
참조은한의원,09시00분~13시00분,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
내성한의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,,1830,930,1830,930,1230
혜광편작한의원,오후 5시 까지 진료,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
삼대한의원,전부휴진,N,N,,,,,,,,,,,,,,
솔뫼한의원,,N,N,840,1200,840,1800,840,1800,840,1800,840,1800,840,1800,840,1400
맑은누리한의원,,N,N,,,,,,,,,,,,,,
송광한의원,오후 4시 이후,N,N,,,,,,,,,,,,,,
신명한의원,오후 5시 이후,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1700
세광한의원,,N,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
송산한의원,09시~16시 진료,N,N,900,,900,2100,900,2100,900,2100,900,2100,900,2100,900,1600
신생한의원,09:00~14:00,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
신창한의원,오후1시,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
동춘당한의원,,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
사상한의원,전부휴진,N,N,,,1030,500,1030,500,1030,500,1030,500,1030,500,,
태극한의원,4시까지 (3시까지접수)  미리전화필수,N,N,,,0,0,1000,1830,1000,1830,1000,1830,1000,1830,1000,1600
부평한의원,오후 3시 이후,N,N,,,900,1640,900,1640,900,1640,900,1640,900,1640,900,1500
약초한의원,병원사정에따라운영,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
경동한의원,오전 09:30-12:30 시,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1230
연한의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1530
삼진한의원,휴진(예약진료),N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,,
태강 한의원,,N,N,1030,1400,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
웅진한의원,휴진,N,N,,,930,1740,930,1740,930,1740,930,1230,930,1740,930,1230
영천배골한의원,오후 4시 까지 진료,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
대건한의원,전부휴진,N,N,,,,,,,,,,,,,,
동평한의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
이딸야한의원,,N,N,,,930,1900,930,1900,930,1900,1400,1900,930,1900,930,1400
김효건한의원,,N,N,,,,,,,,,,,,,,
경원한의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
광혜한의원,휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
한솔부부한의원,,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
대영한의원,9시 30분~2시(점심 시간 없이)까지 진료,N,N,,,1000,1830,1000,1830,1000,1830,1300,1830,1000,1830,930,1400
보리은백한의원,전부휴진,N,N,0,0,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
민강한의원,전부 휴진,N,N,,,1000,1800,1000,1800,1000,1800,,,1000,1800,1000,1400
