name,Closed Notice_Holiday,Emergency Room_Night_Operation Status,Consultation Start Time_Sunday,Consultation End Time_Sunday,Consultation Start Time_Monday,Consultation End Time_Monday,Consultation Start Time_Tuesday,Consultation End Time_Tuesday,Consultation Start Time_Wednesday,Consultation End Time_Wednesday,Consultation Start Time_Thursday,Consultation End Time_Thursday,Consultation Start Time_Friday,Consultation End Time_Friday,Consultation Start Time_Saturday,Consultation End Time_Saturday
현대온누리약국,,N,,,,,,,,,,,,,,
바다약국,9 :00 ~ 13 : 00,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1500
그린약국,휴무,N,,,,,,,,,,,,,,
한빛약국,오전9시~오후4시까지,N,,,,,,,,,,,,,,
푸른약국,휴진,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
롯데약국,09시부터 17시까지 운영합니다.,N,1100,1900,830,2130,830,2130,830,2130,830,2130,830,2130,830,1900
신세계약국,,N,,,,,,,,,,,,,,
명문약국,,N,,,,,,,,,,,,,,
비타민약국,,N,,,900,1950,900,1950,900,1950,900,1950,900,1950,900,1630
천우약국,,N,,,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200
알찬약국,,N,1100,2100,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100
건강백세약국,,N,,,840,1900,840,1900,840,1900,840,1900,840,1900,840,1700
동산약국,,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
굿모닝약국,,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,2000
참사랑약국,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
대선약국,,N,,,,,,,,,,,,,,
모범약국,9시~18시,N,,,,,,,,,,,,,,
네온우리약국,전부 휴진,N,,,,,,,,,,,,,,
구포시장약국,,N,900,2100,900,2130,900,2130,900,2130,900,2130,900,2130,900,2100
메리놀약국,휴무,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
세종약국,,N,1300,100,,,1300,100,1300,100,1300,100,1300,100,1300,100
장약국,,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600
새대학약국,휴무,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300
동해약국,,N,1000,1400,900,2000,900,2000,900,2000,900,2000,900,2000,900,1900
은하수약국,,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1400
튼튼약국,,N,,,900,1930,900,1930,900,1930,900,1930,900,1930,900,1630
가야로약국,,N,,,,,,,,,,,,,,
상아약국,오후5시까지근무,N,,,,,,,,,,,,,,
하나약국,휴무,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
중앙약국,오후6시까지,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
이팜약국,,N,930,2400,930,2400,930,2400,930,2400,930,2400,930,2400,930,2400
부평약국,09:00 ~ 19:00,N,,,,,,,,,,,,,,
미보약국,전부휴진,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
한마음약국,,N,,,,,,,,,,,,,,
경동약국,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
제일약국,,N,1000,2200,900,2230,900,2230,900,2230,900,2230,900,2230,900,2230
동화약국,,N,,,830,2000,830,2000,830,2000,830,2000,830,2000,830,1730
늘푸른약국,,N,,,,,,,,,,,,,,
미소약국,,N,,,800,1900,800,1900,800,1900,800,1900,800,1900,800,1400
사상오체사성당약국,9시~5시근무,N,,,,,,,,,,,,,,
온누리본초약국,오후8시이후,N,,,900,2150,900,2150,900,2150,900,2150,900,2150,900,2100
목동약국,,N,,,,,,,,,,,,,,
신주례약국,오전9시~오후1시,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
덕성약국,,N,,,,,,,,,,,,,,
수성약국,휴무,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
조약국,근무시간 10시00분~22시00분,N,,,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
한일약국,,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
만수약국,,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,2000
일선약국,,N,1800,2130,830,2130,830,2130,830,2130,830,2130,830,2130,830,2130
단성약국,정상영업,N,830,1300,830,1900,830,1900,830,1900,830,1900,830,1900,830,1800
광장약국,,N,,,,,,,,,,,,,,
서면금약국,,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
큰사랑약국,일부 휴진,N,1000,1600,900,1830,900,1830,900,1830,900,1830,900,1830,900,1330
이소약국,,N,,,900,2200,900,2200,900,2200,900,2200,900,2200,900,1900
국일약국,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
대우약국,,N,1000,2100,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100
성경약국,,N,,,,,,,,,,,,,,
진성약국,휴무,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
훈스약국,전부 휴무,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,830,1400
양정24시약국,,N,900,2000,830,2100,830,2100,830,2100,830,2100,830,2100,830,2100
건강약국,,N,,,900,1920,900,1920,900,1920,900,1920,900,1920,900,1600
세일약국,,N,,,,,,,,,,,,,,
평화약국,,N,,,,,,,,,,,,,,
수영약국,,N,,,,,,,,,,,,,,
신제일사약국,8:30-13:00,N,,,830,1930,830,1930,830,2100,830,1900,830,1930,830,1630
건강한온누리약국,,N,,,,,,,,,,,,,,
정약국,휴무,N,,,810,1900,810,1900,810,1900,810,1900,810,1900,810,1700
수민약국,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500
햇님약국,휴무,N,,,,,,,,,,,,,,
힐탑약국,전부 휴진,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,1600
퀸덤약국,전부휴진,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1400
수정약국,,N,900,2100,900,2030,900,2030,900,2030,900,2030,900,2030,900,1700
신동아약국,,N,,,,,,,,,,,,,,
민들레약국,오후 1시이후,N,900,1300,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600
메디팜행복한약국,,N,,,900,1930,900,1930,900,1930,900,1930,900,1930,900,1700
네모약국,,N,,,830,2000,830,2000,830,2000,830,2000,830,2000,830,2000
광안그린약국,,N,,,900,1930,900,1930,900,1930,900,1930,900,1930,900,1600
이화약국,"설날, 추석 당일 휴무",N,900,1700,900,2100,900,2100,900,2100,900,2100,900,2100,900,1700
모라열린약국,정상근무,N,,,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100
임약국,,N,,,,,,,,,,,,,,
지성약국,종일 근무,Y,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400
괴정약국,,N,,,,,,,,,,,,,,
삼성온누리약국,,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,1800
새나라 약국,,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
제생당약국,,N,900,1300,900,2100,900,2100,900,2100,900,2100,900,2100,900,1700
장산약국,1시 이후 휴무,N,900,1300,830,2000,830,2000,830,2000,830,2000,830,2000,830,1700
부영약국,정상근무,N,,,900,2130,900,2130,900,2130,900,2130,900,2130,900,2100
대지온누리약국,,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
동신약국,.,N,,,900,1930,900,1930,900,1930,900,1930,900,1930,900,1900
센텀편안한약국,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
경화약국,전부휴진,N,,,900,2030,900,2030,900,2030,900,2030,900,2030,900,1800
럭키약국,,N,,,,,,,,,,,,,,
포스코약국,,N,,,,,,,,,,,,,,
해운대약국,,N,,,,,,,,,,,,,,
다모아약국,오후5시이후,N,,,900,2100,900,2100,900,2100,900,2100,900,2100,900,1900
지사 온누리 약국,휴무,N,,,830,1830,830,1830,830,1830,830,1830,830,1830,,
새시대약국,오후 5시이후,N,,,,,,,,,,,,,,
온천약국,,N,,,830,2000,830,2000,830,2000,830,2000,830,2000,830,2000
친절한약국,휴무,N,,,,,,,,,,,,,,
구서약국,,N,1000,1300,900,2000,900,2000,900,2000,900,2000,900,2000,900,1700
행복약국,"신정, 성탄설, 추석 설날 당일 휴진",N,930,1700,840,1900,840,1900,840,1900,840,1900,840,1900,840,1500
휘림한방병원,,N,900,1800,900,1800,900,1800,900,1800,900,1800,900,1800,900,1800
해운대자생한방병원,"설날, 추석 휴진",N,900,1800,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800
황금손한방병원,오후1시 이후,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1300
부산더존한방병원,10:00-17:00 진료,N,1000,1700,930,2100,930,2100,930,2100,930,2100,930,2100,930,1700
장덕한방병원,공휴일 진료 09:00~17:00,N,900,1700,900,2000,900,2000,900,2100,900,2000,900,2000,900,1700
서면더존한방병원,10시~17시까지 진료,N,1000,1700,930,2100,930,2100,930,2100,930,2100,930,2100,930,1700
동의대부속 한방병원,"외래진료휴진, 응급실 진료가능",Y,,,830,1730,830,1730,830,1730,830,1730,830,1730,830,1730
우아한방병원,,N,1000,1600,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,1600
의료법인 삼세의료재단 삼세한방병원,09:00~17:00 당직진료,Y,900,1700,900,2000,900,2000,900,2000,900,2000,900,2000,900,1700
예람한의원,전부 휴진,N,,,930,1830,930,1830,930,1800,930,1830,930,1830,930,1500
엄상섭한의원,9시~5시반 진료(최소30분전 내원),N,900,1300,900,1830,900,1830,900,1830,,,900,1830,900,1830
덕산 한의원,휴무,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1500
