요양기관명,종별코드명,시도코드명,시군구코드명,읍면동,우편번호,주소,전화번호
이층약국,약국,서울,은평구,역촌동,3421,"서울특별시 은평구 연서로 9, 2층 205(상가)호 (역촌동, 센타폴리스)",02-6085-0466
한림약국,약국,서울,강동구,천호동,5339,"서울특별시 강동구 성안로 149, 1층 (천호동)",02-486-9743
21세기상계약국,약국,서울,노원구,상계동,1674,"서울특별시 노원구 동일로 1548, (상계동)",937-2288
삼성정문약국,약국,서울,강남구,일원동,6351,"서울특별시 강남구 일원로 95, 109호 (일원동, 신영프라자)",3412-4416
동산약국,약국,서울,노원구,중계동,1782,"서울특별시 노원구 동일로 1280, 1층 109호,110호 (중계동, 무지개아파트단지내상가)",948-9476
서울숲약국,약국,서울,성동구,금호동4가,4743,"서울특별시 성동구 독서당로 336, 리버마이다스빌 2층 207호 (금호동4가)",02-2297-6767
행복약국,약국,서울,동작구,대방동,6942,"서울특별시 동작구 등용로 115, 101호 (대방동, 엘리시아빌딩)",02-822-9095
면목이화온누리약국,약국,서울,중랑구,면목동,2161,"서울특별시 중랑구 겸재로 201, 1층 (면목동, 봄작시티 201)",02-434-3155
한시까지약국,약국,서울,영등포구,영등포동3가,7303,"서울특별시 영등포구 영등포로 250-1, (영등포동3가)",02-2632-7700
하얀약국,약국,서울,관악구,신림동,8767,"서울특별시 관악구 난곡로 327-1, 1층 (신림동)",02-867-8271
마음약국,약국,서울,동대문구,청량리동,2573,"서울특별시 동대문구 왕산로 183, 1층 (청량리동)",02-964-0675
모두온누리약국,약국,서울,관악구,봉천동,8739,"서울특별시 관악구 남부순환로 1869, 1층 (봉천동)",875-5955
새봄약국,약국,서울,송파구,풍납동,5522,"서울특별시 송파구 풍성로 55, 1층 (풍납동)",02-474-3118
365그랜드약국,약국,서울,금천구,시흥동,8626,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",02-896-1223
새서울약국,약국,서울,구로구,구로동,8302,"서울특별시 구로구 가마산로 268, 대림역와이즈플레이스 108호 (구로동)",02-862-0268
청담장수 한약국,약국,서울,강남구,청담동,6012,"서울특별시 강남구 도산대로89길 3, (청담동, 2층 일부)",542-9828
대도약국,약국,서울,종로구,견지동,3149,"서울특별시 종로구 우정국로 38-1, 1층 (견지동)",02-737-4510
메디팜정연약국,약국,서울,강남구,도곡동,6266,"서울특별시 강남구 강남대로 256, 103호 (도곡동, 대우양재디오빌)",02-522-5925
진선약국,약국,서울,강남구,대치동,6198,"서울특별시 강남구 선릉로 424, (대치동)",567-0429
국민약국,약국,서울,강서구,화곡동,7738,"서울특별시 강서구 곰달래로 225, 1,2층 (화곡동)",02-2602-4711
직영약국,약국,서울,강북구,미아동,1118,"서울특별시 강북구 도봉로67길 13, (미아동)",02-989-2370
제일성모약국,약국,서울,강북구,미아동,1188,"서울특별시 강북구 솔샘로 223, (미아동)",02-981-8215
금창약국,약국,서울,동대문구,청량리동,2573,"서울특별시 동대문구 약령시로 126, 1층 (청량리동)",02-965-9114
석산약국,약국,서울,동대문구,제기동,2477,"서울특별시 동대문구 약령시로 3, 1층 (제기동)",928-6985
