name,post_code,address,tel,holiday,start_time_monday,end_time_monday,start_time_tuesday,end_time_tuesday,start_time_wednesday,end_time_wednesday,start_time_thursday,end_time_thursday,start_time_friday,end_time_friday,start_time_saturday,end_time_saturday
100세약국,7223,"서울특별시 영등포구 양평로 24, (당산동6가)",02-2678-8217,전부휴진,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,13:30
1번약국,8311,"서울특별시 구로구 구로동로 132, (구로동)",02-851-1155,전부 휴진,8:30,21:00,8:30,21:00,8:30,21:00,8:30,21:00,8:30,21:00,9:00,19:00
21세기약국,7391,"서울특별시 영등포구 여의대방로 177, (신길동)",02-2678-2854,,,,,,,,,,,,,
365약국,2146,"서울특별시 중랑구 면목로 407, 면목역 지하1층 108호 (면목동)",02-2208-0365,전부 휴진,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,15:00
3층하나약국,5504,"서울특별시 송파구 올림픽로35길 112, (신천동, 장미B상가 315호)",02-412-3358,오후1시이후,8:30,19:00,8:30,19:00,8:30,19:00,8:30,19:00,8:30,19:00,9:00,16:00
7형제약국,5371,"서울특별시 강동구 명일로 117, 106호 (둔촌동)",02-478-9855,휴일,,,,,,,,,,,,
가까운단골약국,5269,"서울특별시 강동구 동남로 891, 현대델리안오피스텔 102호 (명일동)",02-441-8868,전부 휴진,,,,,,,,,,,,
가까운약국,8747,"서울특별시 관악구 양녕로 46, 112호 (봉천동, 메카플러스)",02-883-7266,,,,,,,,,,,,,
가까운온누리약국,8095,"서울특별시 양천구 목동서로 349, 센트럴프라자 106호 (신정동)",02-2650-8828,근무,8:30,22:00,8:30,22:00,8:30,22:00,8:30,22:00,8:30,22:00,8:30,22:00
가까운이화약국,5506,"서울특별시 송파구 강동대로 74, 잠실올림픽아이파크상가 1층 108호, 지층 B103호 (풍납동)",02-489-4383,,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,13:00
가까운중앙약국,7805,"서울특별시 강서구 마곡중앙4로 74, 106~107호 (마곡동)",02-2662-3675,,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,19:00,,
가나약국,3379,"서울특별시 은평구 서오릉로 46, 201동  상가 104호 (녹번동, 녹번2차 현대아파트)",02-352-5088,,8:00,18:30,8:00,18:30,8:00,18:30,8:00,18:30,8:00,18:30,8:00,15:30
가람약국,8277,"서울특별시 구로구 경인로40길 12, GB빌딩 1층 (개봉동)",02-2614-7645,공휴일은 네이버지도에서 약국 운영시간 확인,8:50,21:00,8:50,20:30,8:50,20:30,8:50,20:30,8:50,20:30,8:50,16:00
가양종로약국,7575,"서울특별시 강서구 양천로 460, (등촌동)",02-2659-2356,,,,,,,,,,,,,
가온약국,5328,"서울특별시 강동구 올림픽로 658, 오복빌딩 2층 (천호동)",02-473-4302,오후 2시 이후,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30,9:00,19:00
가정약국,4304,"서울특별시 용산구 청파로 333, (청파동1가)",02-713-6200,"공휴일에도 운영(단 설, 추석 당일 오전 제외))",8:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00
가족사랑약국,1152,"서울특별시 강북구 오패산로52길 39, (미아동)",02-945-3720,,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,17:00
감마약국,6018,"서울특별시 강남구 압구정로 336, 101호 (신사동)",02-547-8990,근무,,,,,,,,,,,,
감초당약국,2569,"서울특별시 동대문구 약령중앙로 11, 1층 (제기동)",02-963-1174,12:00 or 15:00,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30
강남약국,5404,"서울특별시 강동구 양재대로 1355, (성내동)",02-486-7823,,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,20:00
강남제일약국,6132,"서울특별시 강남구 테헤란로 139, (역삼동)",02-555-7790,전부휴진,9:00,20:00,9:00,20:30,9:00,20:00,9:00,20:00,9:00,20:30,10:00,16:30
강림약국,7068,"서울특별시 동작구 시흥대로 668-2, (신대방동)",02-832-8975,전부휴진,8:30,19:30,8:30,19:00,8:30,19:30,8:30,19:00,8:30,19:30,8:30,16:00
강약국,6979,"서울특별시 동작구 서달로 158, (흑석동, 명수대상가104호)",02-816-8766,,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,20:00
건강백세약국,4503,"서울특별시 중구 서소문로 12, (중림동)",02-392-7855,,8:40,19:00,8:40,19:00,8:40,19:00,8:40,19:00,8:40,19:00,8:40,17:00
건강약국,2026,"서울특별시 중랑구 신내로 135, 신내9단지아파트 제상가1동 1층 117호 (신내동)",02-3421-7582,,9:00,19:20,9:00,19:20,9:00,19:20,9:00,19:20,9:00,19:20,9:00,16:00
건강온누리약국,8757,"서울특별시 관악구 남부순환로 1715, 101호 (봉천동, 신우빌딩)",070-7740-3349,,8:30,22:00,8:30,22:00,8:30,22:00,8:30,22:00,8:30,22:00,8:30,22:00
건강제일녹십자약국,1394,"서울특별시 도봉구 해등로 190, (쌍문동)",02-906-1024,10시~7시,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,,
건강한약국,8547,"서울특별시 금천구 남부순환로 1384, (독산동)",02-866-1191,오후 1시,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,16:00
건강한온누리약국,7765,"서울특별시 강서구 가로공원로82길 41-8, 1층 (화곡동)",02-2606-0012,,,,,,,,,,,,,
경민약국,8065,"서울특별시 양천구 신월로10길 16, (신월동, 삼성아파트)",02-2603-2133,,,,,,,,,,,,,
경인약국,5636,"서울특별시 송파구 가락로42길 9, (방이동)",02-412-7891,,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30,9:00,21:30,9:00,20:00
고덕약국,5224,"서울특별시 강동구 고덕로 353, 고덕그라시움아파트(상가1동) 208호 (고덕동)",02-427-9904,,,,,,,,,,,,,
고은약국,7214,"서울특별시 영등포구 영신로 259, (당산동5가)",02-2678-8084,,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00
공생약국,3196,"서울특별시 종로구 종로 228, 1층 (종로5가)",02-2277-1366,근무,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00
관악소망약국,8788,"서울특별시 관악구 남부순환로 1838, 2층 (봉천동)",878-4568,,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,18:00
광장약국,3130,"서울특별시 종로구 종로 193-2, 1,2층 (종로4가)",02-2272-0380,,,,,,,,,,,,,
광혜당약국,2767,"서울특별시 성북구 장월로 88-1, (장위동)",02-942-5199,오전9시~오후1시까지,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,16:00
국약국,1699,"서울특별시 노원구 한글비석로 383, 2층 26호 (중계동, 삼창타워프라자)",02-934-4404,휴무,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00
국일약국,3191,"서울특별시 종로구 종로16길 12, (관철동)",02-2275-7225,,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,13:00
국제약국,4737,"서울특별시 성동구 독서당로 288-1, (금호동4가)",02-2294-3833,오후 8시 이후,8:00,21:30,8:00,21:30,8:00,21:30,8:00,21:30,8:00,21:30,8:00,21:30
군자백화점약국,4985,"서울특별시 광진구 천호대로 574, (능동)",02-3436-2088,,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00
굿모닝약국,8547,"서울특별시 금천구 독산로 366, (독산동)",02-852-4910,,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00
그랜드약국,5016,"서울특별시 광진구 아차산로29길 55, (화양동)",02-462-8447,오전 10시 개문,8:30,23:30,8:30,23:30,8:30,23:30,8:30,23:30,8:30,23:30,8:30,23:30
그랜드온누리약국,2644,"서울특별시 동대문구 장한로 14, (장안동)",070-4229-1954,휴무,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,16:00
그린약국,3404,"서울특별시 은평구 진흥로 103, 기린빌딩 3층 303호 (역촌동)",02-356-5917,휴무,,,,,,,,,,,,
그린팜약국,1073,"서울특별시 강북구 도봉로 329, 5층 (수유동)",02-990-0458,,,,,,,,,,,,,
극동약국,5783,"서울특별시 송파구 동남로18길 9, (가락동, 극동아파트상가 104호)",02-403-1379,전부휴진,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,17:00
금강약국,6906,"서울특별시 동작구 매봉로 178, B02호 (본동, 마본빌딩)",02-817-1918,,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,18:00
금성약국,5043,"서울특별시 광진구 자양로 112, 111호,112호,113호 (구의동)",02-447-1500,"1월1일 정기휴진, 이외 공휴일은 오후12시 이후",8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,12:10
금와약국,5068,"서울특별시 광진구 뚝섬로 585, (자양동)",02-444-0003,,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,14:00
금천약국,4526,"서울특별시 중구 남대문로1길 2, (북창동)",02-778-7134,전부휴진,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,13:00
기린약국,4732,"서울특별시 성동구 독서당로 175, 101-2호 (옥수동, 극동그린아파트)",02-2299-8850,,9:00,19:30,9:00,19:30,9:00,19:30,9:00,19:30,9:00,19:30,9:00,16:30
기쁨약국,6727,"서울특별시 서초구 효령로 396, 1층 (서초동)",02-522-4527,,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,15:00
길약국,5355,"서울특별시 강동구 천호대로177길 10, (길동)",02-470-7533,,,,,,,,,,,,,
길음메디칼약국,2725,"서울특별시 성북구 길음로 2, 1층 (길음동)",02-915-5777,9시~3시까지,9:00,20:20,9:00,20:20,9:00,20:20,9:00,20:20,9:00,20:20,9:00,16:30
김약국,7423,"서울특별시 영등포구  대림로22길 37, (대림동)",02-835-7729,휴무,8:30,19:30,8:30,19:30,8:30,19:30,8:30,19:30,8:30,19:30,,
꿈꾸는약국,6922,"서울특별시 동작구 장승배기로 168, 드림타워 지하1층 B101호 (노량진동)",02-821-6500,,8:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00
나나약국,8708,"서울특별시 관악구 보라매로3길 29, 3층 11호 (봉천동, 해태보라매타워)",02-849-7770,,9:00,21:20,9:00,21:20,9:00,21:20,9:00,21:20,9:00,21:20,9:00,21:00
나라약국,5030,"서울특별시 광진구 능동로 110, 스타시티영존빌딩 지하2층 B201호 (화양동)",02-453-7398,오후 1시까지 근무,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,19:00,9:00,17:00
나래약국,7423,"서울특별시 영등포구 도림로 192, (대림동, 동성빌딩)",02-845-9369,,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00
나무약국,6110,"서울특별시 강남구 학동로 102, 논현역 지하층 208호 (논현동)",,,9:00,20:30,9:00,20:30,9:00,20:30,9:00,20:30,9:00,20:30,8:30,15:00
